timestamp,test-class,test-method,time,description,result
2021-06-05 13:51:36.211,acme.testing.usermanager.task.ManagerTaskDeleteTest,delete,50377,"[1] recordIndex=0, executionStart=2021/05/10 14:05, executionEnd=2021/05/15 19:05, workLoad=125, title=Task 08, description=Eighth task, link=null",OK
2021-06-05 13:53:12.388,acme.testing.usermanager.task.ManagerTaskListTest,list,49391,"[1] recordIndex=0, executionStart=2021/06/24 14:05, executionEnd=2021/06/24 19:05, workLoad=5, title=Task 04, description=Forth task, link=null",OK
2021-06-05 13:54:10.866,acme.testing.usermanager.task.ManagerTaskListTest,list,53200,"[2] recordIndex=1, executionStart=2021/05/10 14:05, executionEnd=2021/05/15 19:05, workLoad=125, title=Task 08, description=Eighth task, link=null",OK
2021-06-05 13:55:48.194,acme.testing.authenticated.task.AuthenticatedTaskListTest,list,47208,"[1] recordIndex=0, executionStart=2021/05/20 22:00, executionEnd=2021/05/21 02:00, workLoad=4, title=Task 01, description=First task, link=null",OK
2021-06-05 13:56:36.431,acme.testing.authenticated.task.AuthenticatedTaskListTest,list,46970,"[2] recordIndex=1, executionStart=2021/05/20 22:00, executionEnd=2021/05/20 23:00, workLoad=1, title=Task 02, description=Second task, link=null",OK
2021-06-05 13:57:38.181,acme.testing.anonymous.shout.AnonymousShoutListTest,list,16858,"[1] recordIndex=0, moment=2021/05/19 11:16, author=Amador Arcos, text=Menos mal que se acabaron las restricciones",OK
2021-06-05 13:57:59.427,acme.testing.anonymous.shout.AnonymousShoutListTest,list,17894,"[2] recordIndex=1, moment=2021/05/18 12:03, author=June Carrillo, text=Que ganas de vacaciones",OK
2021-06-05 13:58:19.581,acme.testing.anonymous.shout.AnonymousShoutListTest,list,16843,"[3] recordIndex=2, moment=2021/05/17 21:43, author=Jose Gabriel Carranza, text=Por fin verano!",OK
2021-06-05 13:59:30.713,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,28597,"[1] recordIndex=0, author=Javier Fuentes, text=Ya mismo llega el verano, info=null",OK
2021-06-05 13:59:57.594,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,24606,"[2] recordIndex=1, author=Rodrigo Hurtado, text=Ya estan aquí los exámenes finales, info=null",OK
2021-06-05 14:00:25.05,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,26146,"[3] recordIndex=2, author=Isabel López, text=Estoy cansada de estudiar, info=null",OK
2021-06-05 14:00:55.001,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,27628,"[4] recordIndex=3, author=Felipe Gutiérrez, text=Que ganas de fiesta!, info=http://www.example.com",OK
2021-06-05 14:01:24.975,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,25676,"[5] recordIndex=4, author=Ana Benítez, text=Este fin de semana nos vamos de acampada!, info=null",OK
2021-06-05 14:01:38.448,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,11159,"[1] recordIndex=0, author=Francisco Hard Core, text=Send me PM on my web, info=http://www.franhardcore.com",OK
2021-06-05 14:01:54.891,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,13144,"[2] recordIndex=1, author=Nayra Romera, text=Sex, info=null",OK
2021-06-05 14:02:09.246,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,10079,"[3] recordIndex=2, author=Hilario Miguez, text=I won a million dollar!, info=http://www.suspectlink.com",OK
2021-06-05 14:02:29.668,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,15119,"[4] recordIndex=3, author=Leyre Zaragoza, text=This is not spam, info=http://www.nigeria-letter.com",OK
2021-06-05 14:02:49.946,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,16999,"[5] recordIndex=4, author=Patricio Tena, text=null, info=null",OK
2021-06-05 14:03:04.245,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,13020,"[6] recordIndex=5, author=null, text=Maldita alergia, info=null",OK
2021-06-05 14:04:08.001,acme.testing.anonymous.task.AnonymousTaskListTest,list,25466,"[1] recordIndex=0, executionStart=2021/05/15 11:00, executionEnd=2021/09/26 14:00, workLoad=360, title=Task 06, description=Sixth task, link=null",OK
2021-06-05 14:04:34.915,acme.testing.anonymous.task.AnonymousTaskListTest,list,23599,"[2] recordIndex=1, executionStart=2021/05/21 16:00, executionEnd=2021/08/26 21:00, workLoad=53, title=Task 07, description=Seventh task, link=null",OK
